type,title,cast,release_year,id,duration_type,duration_int,calificacion,califPromedio
movie,prayer never fails,"corbin bernsen, lorenzo lamas, eric roberts, nick lashaway, lynn whitfield, clifton davis",2017,as1272,min,98,1.0,3.5
tv show,pramface,"sean michael verey, scarlett alice johnson, angus deayton, anna chancellor",2014,as1273,seasons,3,5.0,3.6
movie,power douglas,,2008,as1274,min,19,3.0,3.6
movie,powder blue,"jessica biel, ray liotta, eddie redmayne, forest whitaker, kris kristofferson, lisa kudrow, patrick swayze",2009,as1275,min,106,0.5,3.5
tv show,postcards from buster,,2012,as1276,season,1,4.0,3.7
movie,possessed,"timothy dalton, jonathan malen, henry czerny, michael rhoades, shannon lawson, christopher plummer, piper laurie, richard waugh, michael mclacklan",2000,as1277,min,110,4.0,3.5
movie,posse,"kirk douglas, bruce dern, bo hopkins",1975,as1278,min,93,4.0,3.6
movie,portastatic,,2011,as1279,min,42,5.0,3.6
movie,port of new york,,1949,as1280,min,82,5.0,3.5
movie,porky's revenge,"dan monahan, mark herrier, wyatt knight, tony ganios, kaki hunter",1985,as1281,min,93,2.5,3.5
movie,porky's ii: the next day,"dan monahan, mark herrier, wyatt knight, roger wilson, cyril o'reilly, tony ganios, kaki hunter",1983,as1282,min,98,4.0,3.6
movie,popular nursery rhymes,"elly, eva",2019,as1283,min,22,4.0,3.6
movie,polylove,"brent everett, steve pena, jayson smith, dr. carrie jenkins, dr. laurie betito, gabriel clark, caitlyn roberts, samantha fraser",2019,as1284,min,59,4.0,3.6
movie,pollyanna,"mary pickford, wharton james, katherine griffith, helen jerome eddy",1920,as1285,min,60,2.0,3.5
tv show,police rescue,"gary sweet, sonia todd, steve bastoni, john clayton, tammy macintosh, belinda cotterill, jeremy callaghan",1991,as1286,season,1,4.5,3.4
tv show,poldark,"aidan turner, eleanor tomlinson, ellise chappell, tim dutton, beatie edney, jack farthing, kerri mclean, luke norris, vincent regan, harry richardson, tristan sturrock, peter sullivan, pip torrens, gabriella wilde, tom york, anthony calf",2019,as1287,seasons,5,4.0,3.4
tv show,pokémon the series: gold and silver,"ikue ohtani, veronica taylor",2001,as1288,seasons,4,5.0,3.5
tv show,pointless celebrities,"alexander armstrong, richard osman",2016,as1289,seasons,2,3.0,3.5
movie,pocoyo in cinemas: your first movie,,2018,as1290,min,50,4.0,3.5
tv show,pocket.watch onyx family ultimate mishmash,"mirthell mitchell, rita mitchell, shalom mitchell, sinead mitchell, sade mitchell, shiloh mitchell",2020,as1291,season,1,0.5,3.6
movie,pocket full of game,"katherine k nunez, carlos garcia, joey ortiz, david holley",2020,as1292,min,125,3.0,3.6
tv show,plim plim,,2015,as1293,season,1,5.0,3.5
movie,playtime with mila and morphle,,2019,as1294,min,43,3.0,3.6
tv show,playful kiss,"kim hyun-joong, jung so-min, lee tae-sung, lee si-young, yoon seung-ah",2010,as1295,season,1,5.0,3.6
movie,planet of the humans,"al gore, bill mckibben, richard branson, robert f. kennedy jr., michael bloomberg, van jones, vinod khosla, vandana shiva, ozzie zehner, steven running, nina jablonski, stephen churchill, sheldon solomon",2020,as1296,min,100,3.0,3.5
tv show,planet egypt,,2011,as1297,season,1,3.0,3.5
movie,pit stop,"bill heck, marcus deanda, amy seimetz",2014,as1298,min,81,4.0,3.5
tv show,pistorius,,2018,as1299,season,1,3.0,3.5
movie,piranha,"bradford dillman, heather menzies, kevin mccarthy, keenan wynn, paul bartel, dick miller, barbara steele",1978,as1300,min,94,3.0,3.5
tv show,pinkfong! wash your hands with baby shark,,2020,as1301,season,1,4.0,3.5
tv show,pinkfong! times tables songs,,2014,as1302,season,1,3.0,3.5
tv show,pinkfong! time songs,,2017,as1303,season,1,3.0,3.5
tv show,pinkfong! shape songs,,2015,as1304,season,1,3.0,3.6
tv show,pinkfong! poki's toy lab,,2021,as1305,season,1,4.0,3.5
tv show,pinkfong! outer space songs,,2021,as1306,seasons,2,3.0,3.6
tv show,pinkfong! number songs,,2015,as1307,seasons,2,4.0,3.6
tv show,pinkfong! learn colors with hogi,,2021,as1308,seasons,2,4.5,3.5
tv show,"pinkfong! hogi, the detective",,2021,as1309,season,1,3.0,3.5
tv show,pinkfong! halloween songs,,2017,as1310,seasons,3,1.0,3.6
tv show,pinkfong! fun rhyming songs,,2021,as1311,season,1,5.0,3.5
tv show,pinkfong! fruit songs,,2021,as1312,season,1,4.0,3.5
tv show,pinkfong! dinosaur songs (spanish version),,2014,as1313,season,1,3.0,3.5
tv show,pinkfong! dinosaur musical stories,,2017,as1314,seasons,2,3.0,3.5
movie,pinkfong! dinosaur friends,,2017,as1315,min,67,4.0,3.5
tv show,pinkfong! coloring with hogi,,2020,as1316,seasons,2,0.5,3.5
tv show,pinkfong! christmas carols,,2018,as1317,seasons,2,5.0,3.5
tv show,pinkfong! car songs (spanish version),,2014,as1318,season,1,2.0,3.6
tv show,pinkfong! car songs,,2016,as1319,seasons,2,4.0,3.5
tv show,pinkfong! body songs,,2017,as1320,season,1,5.0,3.5
